Compound Name, Abstract ID, CName Frequency, Skin Freq, Compound-Skin Collocations, Top 0, Top 0 Freq, Top 1, Top 1 Freq, Top 2, Top 2 Freq, Top 3, Top 3 Freq, Top 4, Top 4 Freq
THREONINE,19228077,1,4,0.0,sorafenib,23,hepatocellular,12,carcinoma,12,patients,11,advanced,10
THREONINE,30737086,0,7,0.0,skin,7,glucocorticoids,5,redd1/fkbp51,5,inhibitors,5,atrophy,3
AMMONIA,19187962,1,1,0.0,psoralens,6,suv-b,5,biomass,4,production,4,plant,3
AMMONIA,15893446,1,1,0.0,acid,5,concentration,5,ic50,4,fire,3,combustion,3
CINEOLE,30097123,6,2,0.15384615384615385,1,8-cineole,6,cells,4,molecular,3,confirmed,3,callistemon,2
SULFUR,32264420,2,1,0.0,ocnd,7,radical,3,scavenging,3,extract,3,observed,3
SULFUR,9316644,1,5,0.07142857142857142,kerosine,7,hds,6,toxicity,5,rats,5,observed,5
SULFUR,16393936,1,2,0.0,tg,6,oral,5,toxicity,5,mg/kg,4,rats,4
SULFUR,14643696,1,5,0.0,tumor,8,phenoxazine,8,mouse,5,skin,5,agents,4
SULFUR,29129815,0,0,0.0,sm,10,exposed,3,inflammation,3,biological,2,effect,2
SULFUR,14700144,5,2,0.0,per,8,cent,8,children,6,scabies,5,treatment,5
SULFUR,18028141,1,2,0.0,sm,7,lesions,4,treatment,4,iodine,4,used,3
HYDROGEN PEROXIDE,27318727,1,2,0.0,swimming,7,nps,6,released,4,sunscreens,3,treatment,3
EUCALYPTOL,30097123,0,2,0.0,1,8-cineole,6,cells,4,molecular,3,confirmed,3,callistemon,2
SODIUM BENZOATE,27670220,1,2,0.0,cas,9,#,9,toxicity,6,suitable,6,read,5
SODIUM BENZOATE,16835129,1,4,0.0,benzaldehyde,18,acid,8,benzoic,7,rats,6,irritation,5
SODIUM BENZOATE,15155391,1,1,0.0,children,5,behaviour,5,artificial,4,colourings,3,diet,3
THEOPHYLLINE,8893122,1,2,0.0,dirithromycin,15,erythromycin,7,clinical,5,clarithromycin,5,azithromycin,4
THEOPHYLLINE,11735662,4,1,0.0,corticosteroids,9,adverse,8,effects,8,beta,8,2,8
THEOPHYLLINE,9935275,2,1,0.0,macrolides,6,children,6,erythromycin,5,clarithromycin,5,azithromycin,5
